Type,Treat,Rep,Time,NSE_Lin_Flux,Lin_FluxCV,Exp_Flux,Exp_FluxCV,Exp_dCdry/dt,Dark_Lin_Flux,Dark_Lin_FluxCV,Dark_Exp_Flux,Dark_Exp_FluxCV,Dark_Exp_dCdry/dt,GPP_light_dark,GPP_positive
moss,5.4,2,4,1.66045,1.25153,1.82027,1.24177,0.903687,3.21351,1.24854,3.42552,1.24294,0.948263,-1.55306,1.55306
moss,5.4,3,4,2.20516,1.25535,2.41054,1.24362,0.933477,3.63702,1.26322,4.07111,1.24394,0.971581,-1.43186,1.43186
moss,7.7,1,4,2.2888,1.24677,2.5597,1.23143,1.25483,3.86775,1.23611,4.17246,1.2299,1.14272,-1.57895,1.57895
moss,7.7,2,4,1.54674,1.26317,1.81312,1.23164,0.88043,3.0442,1.26224,3.39148,1.24612,0.925413,-1.49746,1.49746
moss,7.7,3,4,2.17621,1.24934,2.40914,1.23666,1.18827,3.68383,1.24706,3.7565,1.24596,1.03152,-1.50762,1.50762
moss,10,1,4,1.71823,1.25613,1.91728,1.24003,0.948858,3.12265,1.24043,3.37813,1.2333,0.931126,-1.40442,1.40442
moss,10,2,4,2.87755,1.25109,3.23316,1.23301,1.59464,4.40184,1.24341,4.89724,1.23115,1.36229,-1.52429,1.52429
moss,10,3,4,1.49883,1.25758,1.65546,1.24174,0.626292,2.59086,1.25521,2.81841,1.24381,0.657788,-1.09203,1.09203
cyano,1.8,1,5,1.08926,1.24479,1.12651,1.24259,0.552947,1.90237,1.27643,2.09745,1.26082,0.573398,-0.81311,0.81311
cyano,1.8,2,5,1.02482,1.30389,1.20766,1.25711,0.459355,1.7793,1.27985,2.02049,1.25394,0.472644,-0.75448,0.75448
cyano,1.8,3,5,1.2538,1.25351,1.36027,1.24412,0.670216,2.00077,1.27022,2.21669,1.25472,0.607761,-0.74697,0.74697
cyano,2.7,1,5,1.1934,1.25009,1.33217,1.23514,0.648258,2.13983,1.26376,2.35647,1.2507,0.64284,-0.94643,0.94643
cyano,2.7,2,5,1.12912,1.25397,1.23746,1.24191,0.603359,2.11992,1.25565,2.24438,1.24955,0.60841,-0.9908,0.9908
cyano,2.7,3,5,1.16809,1.26568,1.29762,1.25031,0.64401,2.30147,1.25372,2.56467,1.23961,0.706841,-1.13338,1.13338
cyano,5.4,1,5,1.20292,1.26123,1.30033,1.25019,0.492584,1.77204,1.28229,2.02986,1.25054,0.47355,-0.56912,0.56912
cyano,5.4,2,5,1.00236,1.29383,1.15398,1.26464,0.567754,1.78065,1.27504,2.02601,1.25175,0.555531,-0.77829,0.77829
cyano,5.4,3,5,1.30937,1.24255,1.36808,1.23957,0.672819,2.16959,1.26145,2.36266,1.25034,0.646602,-0.86022,0.86022
cyano,7.7,1,5,1.04963,1.27884,1.13051,1.26752,0.429293,1.46646,1.30408,1.64822,1.27706,0.385729,-0.41683,0.41683
cyano,7.7,2,5,1.19,1.25759,1.26656,1.25093,0.632611,2.27016,1.26014,2.27016,1.26015,0.62923,-1.08016,1.08016
cyano,7.7,3,5,1.09499,1.29861,1.26839,1.26502,0.492501,1.77253,1.27165,1.96817,1.25448,0.469777,-0.67754,0.67754
cyano,10,1,5,1.53572,1.26894,1.73706,1.24731,0.844676,2.72872,1.25856,3.09092,1.24066,0.842378,-1.193,1.193
cyano,10,2,5,0.937829,1.27693,1.00709,1.26603,0.382682,1.41608,1.27489,1.53241,1.26308,0.358503,-0.478251,0.478251
cyano,10,3,5,1.27595,1.2581,1.38637,1.24738,0.683626,2.20224,1.2751,2.269,1.27167,0.622752,-0.92629,0.92629
moss,1.8,1,5,1.23553,1.25358,1.38468,1.23556,0.674065,2.23218,1.27519,2.39026,1.265,0.6461,-0.99665,0.99665
moss,1.8,2,5,0.727439,1.35339,0.83841,1.30717,0.325463,2.18562,1.27121,2.45878,1.249,0.586713,-1.458181,1.458181
moss,1.8,3,5,1.71466,1.24596,1.87338,1.23683,0.93338,2.91759,1.25414,3.16741,1.24555,0.877718,-1.20293,1.20293
moss,2.7,1,5,1.86745,1.25962,2.10214,1.23893,1.03927,3.5424,1.26113,4.22008,1.23067,1.16321,-1.67495,1.67495
moss,2.7,2,5,1.20319,1.27905,1.41869,1.24273,0.695142,2.35334,1.26555,2.76775,1.23577,0.756674,-1.15015,1.15015
moss,2.7,3,5,1.64797,1.25727,1.82877,1.2411,0.900798,2.62866,1.25291,2.80879,1.24588,0.77007,-0.98069,0.98069
moss,5.4,1,5,2.05577,1.25106,2.20929,1.24367,0.838276,2.92414,1.25198,3.10642,1.24626,0.724885,-0.86837,0.86837
moss,5.4,2,5,1.70787,1.24624,1.86877,1.23699,0.930871,3.48969,1.24506,3.66653,1.24174,1.01548,-1.78182,1.78182
moss,5.4,3,5,2.27692,1.25509,2.52026,1.24037,0.979864,3.97004,1.25421,4.39779,1.24,1.04952,-1.69312,1.69312
moss,7.7,1,5,2.36294,1.23938,2.59245,1.22973,1.27245,4.1991,1.2503,4.80415,1.23041,1.31527,-1.83616,1.83616
moss,7.7,2,5,1.56365,1.25194,1.76339,1.23549,0.866878,3.13281,1.24644,3.38891,1.23862,0.925181,-1.56916,1.56916
moss,7.7,3,5,2.269,1.23894,2.42281,1.23429,1.19525,3.98255,1.25254,4.49835,1.23551,1.23552,-1.71355,1.71355
moss,10,1,5,1.89829,1.24768,2.07906,1.23681,1.03092,3.61394,1.24941,3.9874,1.23729,1.09945,-1.71565,1.71565
moss,10,2,5,2.65382,1.25959,3.04651,1.23617,1.5118,4.52039,1.23691,4.87948,1.23076,1.34287,-1.86657,1.86657
